Course Code,Course Name,Course Type,Last Placed Candidate Grade,University Code,Year
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,186.4,0300,2021
L223,Engenharia Computacional,Licenciatura - 1º ciclo,137.0,0300,2021
L217,Engenharia de Computadores e Informática,Licenciatura - 1º ciclo,139.0,0300,2021
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,113.0,0300,2021
9119,Engenharia Informática,Licenciatura - 1º ciclo,167.8,0300,2021
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,184.4,0300,2022
L223,Engenharia Computacional,Licenciatura - 1º ciclo,134.5,0300,2022
L202,Engenharia de Automação Industrial,Licenciatura - 1º ciclo,120.3,0300,2022
L217,Engenharia de Computadores e Informática,Licenciatura - 1º ciclo,150.5,0300,2022
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,124.0,0300,2022
9119,Engenharia Informática,Licenciatura - 1º ciclo,174.0,0300,2022
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,185.2,0300,2023
L223,Engenharia Computacional,Licenciatura - 1º ciclo,123.3,0300,2023
L202,Engenharia de Automação Industrial,Licenciatura - 1º ciclo,115.3,0300,2023
L217,Engenharia de Computadores e Informática,Licenciatura - 1º ciclo,142.0,0300,2023
L209,Engenharia Eletrotécnica e de Computadores,Licenciatura - 1º ciclo,120.4,0300,2023
9119,Engenharia Informática,Licenciatura - 1º ciclo,172.0,0300,2023
